Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,23400.000000,23450.000000,22550.000000,22550.000000,19920.960938,37288
2016-01-05,22400.000000,24300.000000,22400.000000,24200.000000,21378.593750,109650
2016-01-06,24300.000000,25350.000000,23850.000000,25300.000000,22350.349609,187302
2016-01-07,25250.000000,25600.000000,23900.000000,24400.000000,21555.277344,148323
2016-01-08,23900.000000,25850.000000,23700.000000,25550.000000,22571.199219,145809
2016-01-11,25900.000000,27800.000000,25800.000000,26250.000000,23189.589844,327658
2016-01-12,26500.000000,26750.000000,25300.000000,26200.000000,23145.417969,119733
2016-01-13,27400.000000,27550.000000,26350.000000,26500.000000,23410.445313,173940
2016-01-14,26050.000000,26450.000000,25400.000000,25750.000000,22747.884766,139378
2016-01-15,26200.000000,26300.000000,25300.000000,25450.000000,22482.863281,87934
2016-01-18,25000.000000,25950.000000,24800.000000,25450.000000,22482.863281,77969
2016-01-19,25600.000000,27000.000000,25450.000000,26950.000000,23807.976563,169557
2016-01-20,26900.000000,27650.000000,25400.000000,26050.000000,23012.906250,212253
2016-01-21,26400.000000,26750.000000,25450.000000,25650.000000,22659.542969,119191
2016-01-22,25650.000000,26600.000000,25600.000000,26350.000000,23277.929688,108276
2016-01-25,26950.000000,27150.000000,26650.000000,26850.000000,23719.638672,93212
2016-01-26,26800.000000,27500.000000,26550.000000,27500.000000,24293.857422,127997
2016-01-27,27150.000000,27700.000000,26600.000000,26900.000000,23763.806641,135159
2016-01-28,26900.000000,27400.000000,26700.000000,27050.000000,23896.320313,54515
2016-01-29,27100.000000,27300.000000,26700.000000,26850.000000,23719.638672,60090
2016-02-01,26900.000000,27500.000000,26850.000000,27500.000000,24293.857422,98610
2016-02-02,27450.000000,28450.000000,27050.000000,27600.000000,24382.195313,155710
2016-02-03,27500.000000,28900.000000,27400.000000,28300.000000,25000.587891,224893
2016-02-04,28600.000000,28800.000000,27750.000000,28100.000000,24823.904297,106914
2016-02-05,28000.000000,28050.000000,26950.000000,27600.000000,24382.195313,104535
2016-02-11,26800.000000,27100.000000,26200.000000,26250.000000,23189.589844,77592
2016-02-12,25750.000000,26200.000000,23750.000000,25100.000000,22173.667969,138570
2016-02-15,25150.000000,25600.000000,24800.000000,24900.000000,21996.984375,87556
2016-02-16,25350.000000,25650.000000,25150.000000,25350.000000,22394.519531,66250
2016-02-17,25600.000000,25650.000000,24350.000000,24750.000000,21864.470703,124301
2016-02-18,25000.000000,25250.000000,24550.000000,24800.000000,21908.640625,127452
2016-02-19,24950.000000,25050.000000,24600.000000,24750.000000,21864.470703,67460
2016-02-22,24750.000000,25750.000000,24700.000000,25750.000000,22747.884766,97685
2016-02-23,25750.000000,25900.000000,24700.000000,24850.000000,21952.812500,76957
