Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,1260000.000000,1285000.000000,1233000.000000,1255000.000000,1185720.375000,5954
2016-01-05,1258000.000000,1309000.000000,1210000.000000,1255000.000000,1185720.375000,9201
2016-01-06,1263000.000000,1287000.000000,1241000.000000,1273000.000000,1202726.875000,8078
2016-01-07,1274000.000000,1328000.000000,1269000.000000,1294000.000000,1222567.625000,5854
2016-01-08,1309000.000000,1309000.000000,1267000.000000,1295000.000000,1223512.250000,4704
2016-01-11,1278000.000000,1302000.000000,1272000.000000,1283000.000000,1212174.750000,4709
2016-01-12,1295000.000000,1301000.000000,1265000.000000,1277000.000000,1206506.000000,4200
2016-01-13,1277000.000000,1280000.000000,1236000.000000,1258000.000000,1188554.750000,7203
2016-01-14,1252000.000000,1266000.000000,1220000.000000,1238000.000000,1169658.875000,6756
2016-01-15,1247000.000000,1289000.000000,1240000.000000,1280000.000000,1209340.375000,7326
2016-01-18,1281000.000000,1310000.000000,1281000.000000,1300000.000000,1228236.375000,4870
2016-01-19,1297000.000000,1315000.000000,1292000.000000,1315000.000000,1242408.250000,5862
2016-01-20,1302000.000000,1325000.000000,1275000.000000,1295000.000000,1223512.250000,5062
2016-01-21,1310000.000000,1322000.000000,1280000.000000,1319000.000000,1246187.500000,5113
2016-01-22,1348000.000000,1430000.000000,1333000.000000,1425000.000000,1346335.875000,11448
2016-01-25,1434000.000000,1434000.000000,1352000.000000,1377000.000000,1300985.750000,10004
2016-01-26,1377000.000000,1397000.000000,1357000.000000,1369000.000000,1293427.250000,5730
2016-01-27,1393000.000000,1393000.000000,1341000.000000,1376000.000000,1300041.000000,7550
2016-01-28,1375000.000000,1385000.000000,1363000.000000,1383000.000000,1306654.500000,4923
2016-01-29,1381000.000000,1418000.000000,1380000.000000,1414000.000000,1335943.125000,6631
2016-02-01,1414000.000000,1425000.000000,1360000.000000,1384000.000000,1307599.375000,8577
2016-02-02,1361000.000000,1423000.000000,1361000.000000,1409000.000000,1331219.125000,6317
2016-02-03,1408000.000000,1433000.000000,1398000.000000,1410000.000000,1332164.000000,4121
2016-02-04,1416000.000000,1418000.000000,1380000.000000,1381000.000000,1304764.875000,5039
2016-02-05,1381000.000000,1381000.000000,1254000.000000,1259000.000000,1189499.750000,18153
2016-02-11,1250000.000000,1263000.000000,1230000.000000,1242000.000000,1173438.125000,7384
